,;hash;nonce;transaction_index;from_address;to_address;value;gas;gas_price;input;receipt_cumulative_gas_used;receipt_gas_used;receipt_contract_address;receipt_root;receipt_status;block_timestamp;block_number;block_hash;max_fee_per_gas;max_priority_fee_per_gas;transaction_type;receipt_effective_gas_price
0,0;0x643fc06d8c095474a191992483be2f4751a78494ac8a114c7c412c917840556a;390112;30;0x9430801ebaf509ad49202aabc5f5bc6fd8a3daf8;0x28540152223470382591513fb2765c51c49960d7;20000000.0;207128;12653818678;0x;2025410;21000;;;1;2022-12-01 04:36:59 UTC;16087612;0x7d8d051bb9715aff41266727ddc0f6452a5d7a1bd86f1ddb109f49a78482170d;24000000000.0;2000000000.0;2;12653818678
1,1;0x255258da931aff207f5dfeb398f24b394eb579026ce9000286d8c87aba696acc;169;1;0x59cc96936b9079eba84c9707c50d419f598914a2;0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45;1660000000.0;180177;12153818678;0x5ae401dc000000000000000000000000000000000000000000000000000000006388365b00000000000000000000000000000000000000000000000000000000000000400000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000e4472b43f30000000000000000000000000000000000000000000000001709813477260000000000000000000000000000000000000000000000002c538250de5f00e67dbe000000000000000000000000000000000000000000000000000000000000008000000000000000000000000059cc96936b9079eba84c9707c50d419f598914a20000000000000000000000000000000000000000000000000000000000000002000000000000000000000000c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2000000000000000000000000d13cfd3133239a3c73a9e535a5c4dadee36b395c00000000000000000000000000000000000000000000000000000000;201490;114450;;;1;2022-12-01 04:36:59 UTC;16087612;0x7d8d051bb9715aff41266727ddc0f6452a5d7a1bd86f1ddb109f49a78482170d;14689612941.0;1500000000.0;2;12153818678
2,2;0x43db82ad8d66e704983df605288cbc7b0ec8fa84788c5c69fc9c57ec4387c7b6;287;9;0x42c1905bbe243cc125cc7426381309748091f250;0x76f4eed9fe41262669d0250b2a97db79712ad855;20000000.0;141511;16940000000;0xf17a454600000000000000000000000000000000000000000000000000000000000000c000000000000000000000000000000000000000000000000000000000000001a000000000000000000000000000000000000000000000000164a2ed2d99f62c700000000000000000000000000000000000000000000000016111efed2538d4f40000000000000000000000001d64fb0ffa8362b2e1ee7ee03929159551eab26e000000000000000000000000000000000000000000000000000000000000022000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000470de4df8200000000000000000000000000001d64fb0ffa8362b2e1ee7ee03929159551eab26e0000000000000000000000000000000000000000000000000000000000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000006b175474e89094c44da98b954eedeac495271d0f000000000000000000000000000000000000000000000000000000000000000100000000000000000000000042c1905bbe243cc125cc7426381309748091f2500000000000000000000000000000000000000000000000000000000000000048010203001301010102ff000000000000000000000000000000000000000000002a1530c4c41db0b0b2bb646cb5eb1a67b71586670000000000000000000000000000000000000000000000000000000000000000000000000000000000000000;765733;128647;;;1;2022-12-01 04:36:59 UTC;16087612;0x7d8d051bb9715aff41266727ddc0f6452a5d7a1bd86f1ddb109f49a78482170d;16940000000.0;16940000000.0;2;16940000000
3,3;0x30ffeab8a6ef8ef34e2f1c2e1d4ba5a3287a88b34ea27d70480955e5c8196f79;5;29;0xc41ebc7bc8f8f614b8f5b50b4a95dc1113b863ff;0x2ec1ad9c99e194e66c992b2093dc20df3f68617c;2322161.1579843643;21000;12653818678;0x;2004410;21000;;;1;2022-12-01 04:36:59 UTC;16087612;0x7d8d051bb9715aff41266727ddc0f6452a5d7a1bd86f1ddb109f49a78482170d;15000000000.0;2000000000.0;2;12653818678
4,4;0xaa7cd9ea868cb06753f6ad57e94b413b311781696e7b97118db3d47cc9771c56;454;26;0x4685377d0f2be1faf07e1ed556eabddbe70b6a5d;0x881d40237659c251811cec9c364ef91dc08d300c;0.0;252658;12653818678;0x5f57552900000000000000000000000000000000000000000000000000000000000000800000000000000000000000003b484b82567a09e2588a13d54d032153f0c0aee0000000000000000000000000000000000000000000397cd6441904c844ce400000000000000000000000000000000000000000000000000000000000000000c000000000000000000000000000000000000000000000000000000000000000136f6e65496e6368563446656544796e616d69630000000000000000000000000000000000000000000000000000000000000000000000000000000000000002000000000000000000000000003b484b82567a09e2588a13d54d032153f0c0aee00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000397cd6441904c844ce400000000000000000000000000000000000000000000000000000164dab5bd59bca00000000000000000000000000000000000000000000000000000000000001200000000000000000000000000000000000000000000000000000336ddfce8c7e000000000000000000000000f326e4de8f66a0bdc0970b79e0924e33c79f1915000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000c82e95b6c80000000000000000000000003b484b82567a09e2588a13d54d032153f0c0aee0000000000000000000000000000000000000000000397cd6441904c844ce400000000000000000000000000000000000000000000000000000168011ea5d77640000000000000000000000000000000000000000000000000000000000000080000000000000000000000000000000000000000000000000000000000000000140000000000000003b6d0340b84c45174bfc6b8f3eaecbae11dee63114f5c1b2ab4991fe00000000000000000000000000000000000000000000000041;1671164;181606;;;1;2022-12-01 04:36:59 UTC;16087612;0x7d8d051bb9715aff41266727ddc0f6452a5d7a1bd86f1ddb109f49a78482170d;19469447587.0;2000000000.0;2;12653818678
5,5;0x4281f6774b84f9a72961084b9d05081c5c077855a8a062484ab2d48c49687289;68;106;0x6d0875a139c778bfe86e005192a49f57d7f0efd5;0x974caa59e49682cda0ad2bbe82983419a2ecc400;265500545.067698;21000;10760711062;0x;10634401;21000;;;1;2022-12-01 04:36:59 UTC;16087612;0x7d8d051bb9715aff41266727ddc0f6452a5d7a1bd86f1ddb109f49a78482170d;;;0;10760711062
6,6;0x0765af53cc43c59f3a1a6d71d59ef6340be645348ec1ace262763848e3a34e7a;133;96;0xf5d67163c4c8324c9ff3177afc0df7c3beb36e2b;0xdac17f958d2ee523a2206206994597c13d831ec7;0.0;50719;10883818678;0xa9059cbb00000000000000000000000070226954d51dc2eb019e4a4819be5b63cd46c49c00000000000000000000000000000000000000000000000000000001a13b8600;8891779;46109;;;1;2022-12-01 04:36:59 UTC;16087612;0x7d8d051bb9715aff41266727ddc0f6452a5d7a1bd86f1ddb109f49a78482170d;11840758849.0;230000000.0;2;10883818678
7,7;0x01931b1f1b02247f460d10c79d7e583a86ad4d22e407dbf902d20f435bf93b6a;96;103;0xe968d8553b2f3f18ca0773cf1fd613ffae93dc54;0x974caa59e49682cda0ad2bbe82983419a2ecc400;269892775.067698;21000;10760711062;0x;10571401;21000;;;1;2022-12-01 04:36:59 UTC;16087612;0x7d8d051bb9715aff41266727ddc0f6452a5d7a1bd86f1ddb109f49a78482170d;;;0;10760711062
8,8;0x6f1536d4344fe80ceb4a81dff1cd28db9d49a617d23161e51b4c0952b8a0805e;4969181;34;0x21a31ee1afc51d94c2efccaa2092ad1028285549;0xd084b83c305dafd76ae3e1b4e1f1fe2ecccb3988;0.0;207128;12653818678;0xa9059cbb000000000000000000000000a75c55b96404f286b66d504fe2e938492e5375140000000000000000000000000000000000000000000000564674a145c4b76800;2639413;54305;;;1;2022-12-01 04:36:59 UTC;16087612;0x7d8d051bb9715aff41266727ddc0f6452a5d7a1bd86f1ddb109f49a78482170d;102000000000.0;2000000000.0;2;12653818678
9,9;0xe36573f2048cd1175cc58d588e0d65162b397a93ea7b0dc3b7a558dc8b8e2544;115;45;0x3031a34723d612ec67528434c94714b46b39ee56;0x70423fc4400c3dc01168ebe23f68d0f3ee9a0123;2000000.0000000002;85853;12153818678;0x5b6baa0d000000000000000000000000000000001e7f735c87a9444fa493cfd3eff75ccb00000000000000000000000000000000000000000000000000000000000000600000000000000000000000000000000000000000000000000000000000f57a430000000000000000000000000000000000000000000000000000000000000003000000000000000000000000c9afe0cc27683ee81bdcd6782ec977b7eb00a4740000000000000000000000000000000000000000000000000006651728988000000000000000000000000000822adbafc308a9ba6e0abed099c5b180dfae6e6200000000000000000000000000000000000000000000000000005b960bba9800000000000000000000000000822adbafc308a9ba6e0abed099c5b180dfae6e6200000000000000000000000000000000000000000000000000005a501539e800;4026332;85853;;;1;2022-12-01 04:36:59 UTC;16087612;0x7d8d051bb9715aff41266727ddc0f6452a5d7a1bd86f1ddb109f49a78482170d;14689612941.0;1500000000.0;2;12153818678
